account_code,account_name,period,entity,opening,debit,credit,closing
1002,银行存款,2026-01,清禾出行 · 合成示例,-0.0,111250.0,0.0,111250.0
1122,应收账款,2026-01,清禾出行 · 合成示例,100000.0,0.0,-0.0,100000.0
1405,库存商品,2026-01,清禾出行 · 合成示例,100000.0,0.0,-0.0,100000.0
1601,固定资产,2026-01,清禾出行 · 合成示例,400000.0,0.0,-0.0,400000.0
1602,累计折旧,2026-01,清禾出行 · 合成示例,0.0,0.0,10000.0,-10000.0
2202,应付账款,2026-01,清禾出行 · 合成示例,-100000.0,0.0,-0.0,-100000.0
2501,长期借款,2026-01,清禾出行 · 合成示例,-100000.0,0.0,-0.0,-100000.0
4001,实收资本,2026-01,清禾出行 · 合成示例,-400000.0,0.0,-0.0,-400000.0
4104,未分配利润,2026-01,清禾出行 · 合成示例,0.0,0.0,-0.0,0.0
6001,主营业务收入,2026-01,清禾出行 · 合成示例,0.0,0.0,500000.0,-500000.0
6401,主营业务成本,2026-01,清禾出行 · 合成示例,0.0,300000.0,0.0,300000.0
6601,销售费用,2026-01,清禾出行 · 合成示例,0.0,25000.0,0.0,25000.0
6602,管理费用,2026-01,清禾出行 · 合成示例,0.0,25000.0,0.0,25000.0
6603,研发费用,2026-01,清禾出行 · 合成示例,0.0,0.0,-0.0,0.0
6604,折旧费用,2026-01,清禾出行 · 合成示例,0.0,10000.0,0.0,10000.0
6605,利息费用,2026-01,清禾出行 · 合成示例,0.0,5000.0,0.0,5000.0
6801,所得税费用,2026-01,清禾出行 · 合成示例,0.0,33750.0,0.0,33750.0
1002,银行存款,2026-02,清禾出行 · 合成示例,111250.0,111250.0,0.0,222500.0
1122,应收账款,2026-02,清禾出行 · 合成示例,100000.0,0.0,-0.0,100000.0
1405,库存商品,2026-02,清禾出行 · 合成示例,100000.0,0.0,-0.0,100000.0
1601,固定资产,2026-02,清禾出行 · 合成示例,400000.0,0.0,-0.0,400000.0
1602,累计折旧,2026-02,清禾出行 · 合成示例,-10000.0,0.0,10000.0,-20000.0
2202,应付账款,2026-02,清禾出行 · 合成示例,-100000.0,0.0,-0.0,-100000.0
2501,长期借款,2026-02,清禾出行 · 合成示例,-100000.0,0.0,-0.0,-100000.0
4001,实收资本,2026-02,清禾出行 · 合成示例,-400000.0,0.0,-0.0,-400000.0
4104,未分配利润,2026-02,清禾出行 · 合成示例,0.0,0.0,-0.0,0.0
6001,主营业务收入,2026-02,清禾出行 · 合成示例,-500000.0,0.0,500000.0,-1000000.0
6401,主营业务成本,2026-02,清禾出行 · 合成示例,300000.0,300000.0,0.0,600000.0
6601,销售费用,2026-02,清禾出行 · 合成示例,25000.0,25000.0,0.0,50000.0
6602,管理费用,2026-02,清禾出行 · 合成示例,25000.0,25000.0,0.0,50000.0
6603,研发费用,2026-02,清禾出行 · 合成示例,0.0,0.0,-0.0,0.0
6604,折旧费用,2026-02,清禾出行 · 合成示例,10000.0,10000.0,0.0,20000.0
6605,利息费用,2026-02,清禾出行 · 合成示例,5000.0,5000.0,0.0,10000.0
6801,所得税费用,2026-02,清禾出行 · 合成示例,33750.0,33750.0,0.0,67500.0
1002,银行存款,2026-03,清禾出行 · 合成示例,222500.0,111250.0,0.0,333750.0
1122,应收账款,2026-03,清禾出行 · 合成示例,100000.0,0.0,-0.0,100000.0
1405,库存商品,2026-03,清禾出行 · 合成示例,100000.0,0.0,-0.0,100000.0
1601,固定资产,2026-03,清禾出行 · 合成示例,400000.0,0.0,-0.0,400000.0
1602,累计折旧,2026-03,清禾出行 · 合成示例,-20000.0,0.0,10000.0,-30000.0
2202,应付账款,2026-03,清禾出行 · 合成示例,-100000.0,0.0,-0.0,-100000.0
2501,长期借款,2026-03,清禾出行 · 合成示例,-100000.0,0.0,-0.0,-100000.0
4001,实收资本,2026-03,清禾出行 · 合成示例,-400000.0,0.0,-0.0,-400000.0
4104,未分配利润,2026-03,清禾出行 · 合成示例,0.0,0.0,-0.0,0.0
6001,主营业务收入,2026-03,清禾出行 · 合成示例,-1000000.0,0.0,500000.0,-1500000.0
6401,主营业务成本,2026-03,清禾出行 · 合成示例,600000.0,300000.0,0.0,900000.0
6601,销售费用,2026-03,清禾出行 · 合成示例,50000.0,25000.0,0.0,75000.0
6602,管理费用,2026-03,清禾出行 · 合成示例,50000.0,25000.0,0.0,75000.0
6603,研发费用,2026-03,清禾出行 · 合成示例,0.0,0.0,-0.0,0.0
6604,折旧费用,2026-03,清禾出行 · 合成示例,20000.0,10000.0,0.0,30000.0
6605,利息费用,2026-03,清禾出行 · 合成示例,10000.0,5000.0,0.0,15000.0
6801,所得税费用,2026-03,清禾出行 · 合成示例,67500.0,33750.0,0.0,101250.0
